Wooden sword	sword	1	5	5	5	5	5	5	1
Iron sword	sword	1	10	10	10	10	10	10	1
Steel sword	sword	1	15	15	15	15	15	15	1
Wooden dagger	dagger	1	3	10	10	5	5	5	1
Iron dagger	dagger	1	6	15	15	10	10	10	1
Steel dagger	dagger	1	9	20	20	15	15	15	1
Wooden lance	lance	2	7	10	10	5	5	5	2
Iron lance	lance	2	14	15	15	10	10	10	2
Steel lance	lance	2	21	20	20	15	15	15	2
Wooden axe	axe	1	9	3	5	5	5	5	1
Iron axe	axe	1	18	6	10	10	10	10	1
Steel axe	axe	1	27	9	15	15	15	15	1
Wooden wand	wand	1	5	5	5	5	5	5	1
Iron wand	wand	1	10	10	10	10	10	10	1
Steel wand	wand	1	15	15	15	15	15	15	1
Wooden bow	bow	2	5	5	5	5	5	5	10
Iron bow	bow	2	10	10	10	10	10	10	10
Steel bow	bow	2	15	15	15	15	15	15	10
Wooden staff	staff	2	7	10	5	5	5	5	1
Iron staff	staff	2	14	15	10	10	10	10	1
Steel staff	staff	2	21	20	15	15	15	15	1
